"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en.x","countrycode_wb","category","core capacity","recipient","total disbursed","iso3","countrycode_en.y"
"Aruba","ABW","Latin America & Caribbean","High income",NA,NA,"Aruba","ABW","Detect","National Laboratory System","Aruba",142093,"ABW",NA
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Prevent","Antimicrobial Resistance (AMR)","Afghanistan",193611,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Prevent","Food Safety","Afghanistan",33086014,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Prevent","Immunization","Afghanistan",313305552,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Respond","Linking Public Health and Security Authorities","Afghanistan",52303,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Respond","Medical Countermeasures and Personnel Deployment","Afghanistan",6768581,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Detect","National Laboratory System","Afghanistan",127753043,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Prevent","National Legislation, Policy, and Financing","Afghanistan",102065045,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Other","Point of Entry (PoE)","Afghanistan",2040364,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Respond","Preparedness","Afghanistan",4674118,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Detect","Real Time Surveillance","Afghanistan",142689022,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Detect","Reporting","Afghanistan",126696305,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Respond","Risk Communication","Afghanistan",69673,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Unspecified","Unspecified","Afghanistan",701889446,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Detect","Workforce Development","Afghanistan",45894482,"AFG","Afghanistan"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Prevent","Zoonotic Disease","Afghanistan",26720947,"AFG","Afghanistan"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Prevent","Antimicrobial Resistance (AMR)","Angola",5397611,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Prevent","Biosafety and Biosecurity","Angola",280881,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Prevent","Immunization","Angola",72115559,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Respond","Medical Countermeasures and Personnel Deployment","Angola",53743469,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Detect","National Laboratory System","Angola",109604819,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Prevent","National Legislation, Policy, and Financing","Angola",91569527,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Respond","Preparedness","Angola",3909852,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Detect","Real Time Surveillance","Angola",208476637,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Detect","Reporting","Angola",199792695,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Respond","Risk Communication","Angola",80618,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Unspecified","Unspecified","Angola",360479320,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Detect","Workforce Development","Angola",24587336,"AGO","Angola"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Prevent","Zoonotic Disease","Angola",144268,"AGO","Angola"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Prevent","Antimicrobial Resistance (AMR)","Albania",20104,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Prevent","Food Safety","Albania",1787474,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Prevent","Immunization","Albania",5527546,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Respond","Medical Countermeasures and Personnel Deployment","Albania",19958,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Detect","National Laboratory System","Albania",195875,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Prevent","National Legislation, Policy, and Financing","Albania",85545,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Respond","Preparedness","Albania",39916,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Detect","Real Time Surveillance","Albania",90095,"ALB","Albania"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Respond","Risk Communication","Albania",35794,"ALB","Albania"
