"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en.x","countrycode_wb","recipient","total funding disbursed","iso3","countrycode_en.y"
"Aruba","ABW","Latin America & Caribbean","High income",NA,NA,"Aruba","ABW","Aruba",63370373,"ABW",NA
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Afghanistan",2165467807,"AFG","Afghanistan"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","Angola",1001341951,"AGO","Angola"
"Albania","ALB","Europe & Central Asia","Upper middle income","IBRD",NA,"Albania","ALB","Albania",142582314,"ALB","Albania"
"Andorra","AND","Europe & Central Asia","High income",NA,NA,"Andorra","AND",NA,NA,NA,NA
"United Arab Emirates","ARE","Middle East & North Africa","High income",NA,NA,"United Arab Emirates","ARE","United Arab Emirates",346590,"ARE","United Arab Emirates"
"Argentina","ARG","Latin America & Caribbean","Upper middle income","IBRD",NA,"Argentina","ARG","Argentina",1260706066,"ARG","Argentina"
"Armenia","ARM","Europe & Central Asia","Upper middle income","IBRD",NA,"Armenia","ARM","Armenia",142950656,"ARM","Armenia"
"American Samoa","ASM","East Asia & Pacific","Upper middle income",NA,NA,"American Samoa","ASM","American Samoa",17853529,"ASM",NA
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","IBRD",NA,"Antigua & Barbuda","ATG","Antigua and Barbuda",2356219,"ATG","Antigua and Barbuda"
"Australia","AUS","East Asia & Pacific","High income",NA,NA,"Australia","AUS","Australia",1149455,"AUS","Australia"
"Austria","AUT","Europe & Central Asia","High income",NA,"EMU","Austria","AUT",NA,NA,NA,NA
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","IBRD",NA,"Azerbaijan","AZE","Azerbaijan",343746724,"AZE","Azerbaijan"
"Burundi","BDI","Sub-Saharan Africa","Low income","IDA","HIPC","Burundi","BDI","Burundi",1258937688,"BDI","Burundi"
"Belgium","BEL","Europe & Central Asia","High income",NA,"EMU","Belgium","BEL","Belgium",19519645,"BEL","Belgium"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Benin","BEN","Benin",1049224731,"BEN","Benin"
"Burkina Faso","BFA","Sub-Saharan Africa","Low income","IDA","HIPC","Burkina Faso","BFA","Burkina Faso",1843578379,"BFA","Burkina Faso"
"Bangladesh","BGD","South Asia","Lower middle income","IDA",NA,"Bangladesh","BGD","Bangladesh",5232551713,"BGD","Bangladesh"
"Bulgaria","BGR","Europe & Central Asia","Upper middle income","IBRD",NA,"Bulgaria","BGR","Bulgaria",19950428,"BGR","Bulgaria"
"Bahrain","BHR","Middle East & North Africa","High income",NA,NA,"Bahrain","BHR","Bahrain",522147,"BHR","Bahrain"
"Bahamas, The","BHS","Latin America & Caribbean","High income",NA,NA,"Bahamas","BHS","Bahamas",24886401,"BHS","Bahamas"
"Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","IBRD",NA,"Bosnia & Herzegovina","BIH","Bosnia and Herzegovina",146580974,"BIH","Bosnia and Herzegovina"
"Belarus","BLR","Europe & Central Asia","Upper middle income","IBRD",NA,"Belarus","BLR","Belarus",193416490,"BLR","Belarus"
"Belize","BLZ","Latin America & Caribbean","Upper middle income","IBRD",NA,"Belize","BLZ","Belize",45948937,"BLZ","Belize"
"Bermuda","BMU","North America","High income",NA,NA,"Bermuda","BMU",NA,NA,NA,NA
"Bolivia","BOL","Latin America & Caribbean","Lower middle income","IBRD","HIPC","Bolivia","BOL","Bolivia",563157640,"BOL","Bolivia (Plurinational State of)"
"Brazil","BRA","Latin America & Caribbean","Upper middle income","IBRD",NA,"Brazil","BRA","Brazil",1185089049,"BRA","Brazil"
"Barbados","BRB","Latin America & Caribbean","High income",NA,NA,"Barbados","BRB","Barbados",39724173,"BRB","Barbados"
"Brunei Darussalam","BRN","East Asia & Pacific","High income",NA,NA,"Brunei","BRN","Brunei Darussalam",28819,"BRN","Brunei Darussalam"
"Bhutan","BTN","South Asia","Lower middle income","IDA",NA,"Bhutan","BTN","Bhutan",80204105,"BTN","Bhutan"
"Botswana","BWA","Sub-Saharan Africa","Upper middle income","IBRD",NA,"Botswana","BWA","Botswana",404960158,"BWA","Botswana"
"Central African Republic","CAF","Sub-Saharan Africa","Low income","IDA","HIPC","Central African Republic","CAF","Central African Republic",607030299,"CAF","Central African Republic"
"Canada","CAN","North America","High income",NA,NA,"Canada","CAN","Canada",11164725,"CAN","Canada"
"Switzerland","CHE","Europe & Central Asia","High income",NA,NA,"Switzerland","CHE","Switzerland",334712538,"CHE","Switzerland"
"Channel Islands","CHI","Europe & Central Asia","High income",NA,NA,"Channel Islands","CHI",NA,NA,NA,NA
"Chile","CHL","Latin America & Caribbean","High income","IBRD",NA,"Chile","CHL","Chile",13756533,"CHL","Chile"
"China","CHN","East Asia & Pacific","Upper middle income","IBRD",NA,"China","CHN","China",1052993968,"CHN","China"
"Côte d’Ivoire","CIV","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Côte d’Ivoire","CIV","Cote d'Ivoire",2436841257,"CIV","Côte d’Ivoire"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Cameroon","CMR","Cameroon",1990491416,"CMR","Cameroon"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","IDA","HIPC","Congo - Kinshasa","COD","Democratic Republic of the Congo",7121624629,"COD","Democratic Republic of the Congo"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","Blend","HIPC","Congo - Brazzaville","COG","Congo",277434258,"COG","Congo"
"Colombia","COL","Latin America & Caribbean","Upper middle income","IBRD",NA,"Colombia","COL","Colombia",944770295,"COL","Colombia"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Comoros","COM","Comoros",134633220,"COM","Comoros"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","Blend",NA,"Cape Verde","CPV","Cabo Verde",75044936,"CPV","Cabo Verde"
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","IBRD",NA,"Costa Rica","CRI","Costa Rica",25382836,"CRI","Costa Rica"
"Cuba","CUB","Latin America & Caribbean","Upper middle income",NA,NA,"Cuba","CUB","Cuba",100576422,"CUB","Cuba"
"Curaçao","CUW","Latin America & Caribbean","High income",NA,NA,"Curaçao","CUW","CuraÃ§ao",47393993,"CUW",NA
"Cayman Islands","CYM","Latin America & Caribbean","High income",NA,NA,"Cayman Islands","CYM",NA,NA,NA,NA
"Cyprus","CYP","Europe & Central Asia","High income",NA,"EMU","Cyprus","CYP","Cyprus",759,"CYP","Cyprus"
"Czech Republic","CZE","Europe & Central Asia","High income",NA,NA,"Czechia","CZE","Czech Republic",1106551,"CZE","Czechia"
"Germany","DEU","Europe & Central Asia","High income",NA,"EMU","Germany","DEU","Germany",541611,"DEU","Germany"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","IDA",NA,"Djibouti","DJI","Djibouti",114101826,"DJI","Djibouti"
"Dominica","DMA","Latin America & Caribbean","Upper middle income","Blend",NA,"Dominica","DMA","Dominica",9551735,"DMA","Dominica"
"Denmark","DNK","Europe & Central Asia","High income",NA,NA,"Denmark","DNK","Denmark",196209,"DNK","Denmark"
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","IBRD",NA,"Dominican Republic","DOM","Dominican Republic",654164113,"DOM","Dominican Republic"
"Algeria","DZA","Middle East & North Africa","Lower middle income","IBRD",NA,"Algeria","DZA","Algeria",189506104,"DZA","Algeria"
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","IBRD",NA,"Ecuador","ECU","Ecuador",907449384,"ECU","Ecuador"
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","IBRD",NA,"Egypt","EGY","Egypt",1102409133,"EGY","Egypt"
"Eritrea","ERI","Sub-Saharan Africa","Low income","IDA","HIPC","Eritrea","ERI","Eritrea",237314193,"ERI","Eritrea"
"Spain","ESP","Europe & Central Asia","High income",NA,"EMU","Spain","ESP","Spain",1064042,"ESP","Spain"
"Estonia","EST","Europe & Central Asia","High income",NA,"EMU","Estonia","EST","Estonia",486233,"EST","Estonia"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","IDA","HIPC","Ethiopia","ETH","Ethiopia",7263444727,"ETH","Ethiopia"
"Finland","FIN","Europe & Central Asia","High income",NA,"EMU","Finland","FIN",NA,NA,NA,NA
"Fiji","FJI","East Asia & Pacific","Upper middle income","Blend",NA,"Fiji","FJI","Fiji",229166046,"FJI","Fiji"
"France","FRA","Europe & Central Asia","High income",NA,"EMU","France","FRA","France",2257981,"FRA","France"
"Faroe Islands","FRO","Europe & Central Asia","High income",NA,NA,"Faroe Islands","FRO",NA,NA,NA,NA
"Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","IDA",NA,"Micronesia (Federated States of)","FSM","Federated States of Micronesia",25404095,"FSM","Micronesia (Federated States of)"
"Gabon","GAB","Sub-Saharan Africa","Upper middle income","IBRD",NA,"Gabon","GAB","Gabon",230843800,"GAB","Gabon"
"United Kingdom","GBR","Europe & Central Asia","High income",NA,NA,"United Kingdom","GBR","United Kingdom",232589912,"GBR","United Kingdom of Great Britain and Northern Ireland"
"Georgia","GEO","Europe & Central Asia","Upper middle income","IBRD",NA,"Georgia","GEO","Georgia",320283931,"GEO","Georgia"
"Ghana","GHA","Sub-Saharan Africa","Lower middle income","IDA","HIPC","Ghana","GHA","Ghana",2227547253,"GHA","Ghana"
"Gibraltar","GIB","Europe & Central Asia","High income",NA,NA,"Gibraltar","GIB",NA,NA,NA,NA
"Guinea","GIN","Sub-Saharan Africa","Low income","IDA","HIPC","Guinea","GIN","Guinea",1283264885,"GIN","Guinea"
"Gambia, The","GMB","Sub-Saharan Africa","Low income","IDA","HIPC","Gambia","GMB","Gambia",261660762,"GMB","Gambia"
"Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","IDA","HIPC","Guinea-Bissau","GNB","Guinea Bissau",265536879,"GNB","Guinea-Bissau"
"Equatorial Guinea","GNQ","Sub-Saharan Africa","Upper middle income","IBRD",NA,"Equatorial Guinea","GNQ","Equatorial Guinea",32245435,"GNQ","Equatorial Guinea"
"Greece","GRC","Europe & Central Asia","High income",NA,"EMU","Greece","GRC","Greece",2183753,"GRC","Greece"
"Grenada","GRD","Latin America & Caribbean","Upper middle income","Blend",NA,"Grenada","GRD","Grenada",8354675,"GRD","Grenada"
"Greenland","GRL","Europe & Central Asia","High income",NA,NA,"Greenland","GRL",NA,NA,NA,NA
"Guatemala","GTM","Latin America & Caribbean","Upper middle income","IBRD",NA,"Guatemala","GTM","Guatemala",563901263,"GTM","Guatemala"
"Guam","GUM","East Asia & Pacific","High income",NA,NA,"Guam","GUM",NA,NA,NA,NA
"Guyana","GUY","Latin America & Caribbean","Upper middle income","IDA","HIPC","Guyana","GUY","Guyana",135030528,"GUY","Guyana"
"Hong Kong SAR, China","HKG","East Asia & Pacific","High income",NA,NA,"Hong Kong SAR China","HKG",NA,NA,NA,NA
"Honduras","HND","Latin America & Caribbean","Lower middle income","IDA","HIPC","Honduras","HND","Honduras",628012947,"HND","Honduras"
"Croatia","HRV","Europe & Central Asia","High income","IBRD",NA,"Croatia","HRV","Croatia",96703243,"HRV","Croatia"
"Haiti","HTI","Latin America & Caribbean","Lower middle income","IDA","HIPC","Haiti","HTI","Haiti",1660813006,"HTI","Haiti"
"Hungary","HUN","Europe & Central Asia","High income",NA,NA,"Hungary","HUN","Hungary",1058540,"HUN","Hungary"
"Indonesia","IDN","East Asia & Pacific","Lower middle income","IBRD",NA,"Indonesia","IDN","Indonesia",4958199061,"IDN","Indonesia"
"Isle of Man","IMN","Europe & Central Asia","High income",NA,NA,"Isle of Man","IMN",NA,NA,NA,NA
"India","IND","South Asia","Lower middle income","IBRD",NA,"India","IND","India",9164915267,"IND","India"
"Ireland","IRL","Europe & Central Asia","High income",NA,"EMU","Ireland","IRL","Ireland",77507,"IRL","Ireland"
"Iran, Islamic Rep.","IRN","Middle East & North Africa","Lower middle income","IBRD",NA,"Iran","IRN","Iran",255107889,"IRN","Iran (Islamic Republic of)"
"Iraq","IRQ","Middle East & North Africa","Upper middle income","IBRD",NA,"Iraq","IRQ","Iraq",409676211,"IRQ","Iraq"
"Iceland","ISL","Europe & Central Asia","High income",NA,NA,"Iceland","ISL",NA,NA,NA,NA
"Israel","ISR","Middle East & North Africa","High income",NA,NA,"Israel","ISR","Israel",21029062,"ISR","Israel"
"Italy","ITA","Europe & Central Asia","High income",NA,"EMU","Italy","ITA","Italy",5766968,"ITA","Italy"
"Jamaica","JAM","Latin America & Caribbean","Upper middle income","IBRD",NA,"Jamaica","JAM","Jamaica",275684028,"JAM","Jamaica"
