"Economy","Code","Region","Income group","Lending category","Other (EMU or HIPC)","countrycode_en","countrycode_wb","region","country","capacity","score","year","capacity_category","category"
"Aruba","ABW","Latin America & Caribbean","High income",NA,NA,"Aruba","ABW",NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","National Legislation, Policy and Financing",20,2016,"Prevent","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","IHR Coordination, Communication and Advocacy",20,2016,"Prevent","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Antimicrobial Resistance",20,2016,"Prevent","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Zoonotic Disease",60,2016,"Prevent","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Food Safety",20,2016,"Prevent","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Biosafety and Biosecurity",20,2016,"Prevent","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Immunization",60,2016,"Prevent","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","National Laboratory System",40,2016,"Detect","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Real-Time Surveillance",70,2016,"Detect","green"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Reporting",40,2016,"Detect","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Human Resources (Animal and human health sector)",20,2016,"Detect","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Preparedness",40,2016,"Respond","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Emergency Response Operations",40,2016,"Respond","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Linking Public Health and Security Authorities",80,2016,"Respond","green"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Medical Countermeasures",20,2016,"Respond","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Risk Communication",40,2016,"Respond","yellow"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Events Points of Entry (PoEs)",20,2016,"Other Hazards","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Chemical Events",20,2016,"Other Hazards","red"
"Afghanistan","AFG","South Asia","Low income","IDA","HIPC","Afghanistan","AFG","Eastern Mediterranean Region","Afghanistan","Radiation Emergencies",20,2016,"Other Hazards","red"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","National Legislation, Policy and Financing",33,2019,"Prevent","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","IHR Coordination, Communication and Advocacy",60,2019,"Prevent","yellow"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Antimicrobial Resistance",20,2019,"Prevent","red"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","IBRD",NA,"Angola","AGO","African Region","Angola","Zoonotic Disease",40,2019,"Prevent","yellow"
